,分析层级,分析内容,归属阶段,样本量N,Pearson r,Spearman ρ,p值,主判据,证据类型,解释结论
0,成员级,原型距离 × 常规度,η2,5971,-0.0668,-0.0216,<.001,Pearson r,非定义成员级,非定义成员级极弱线索
1,成员级,原型距离 × 认知通达度,η2,5971,-0.3156,-0.3991,<.001,Spearman ρ,定义内嵌,定义内嵌，不能单独作为强机制证据
2,成员级,原型距离 × 系统性,η3,5971,-0.0077,0.0121,0.551,Pearson r,非定义成员级,非定义成员级未支持
3,成员级,原型距离 × 蕴涵丰富度,η3,5971,0.0483,0.0409,<.001,Pearson r,非定义成员级；补偿性指标,非定义成员级极弱线索
4,成员级,原型距离 × 映射方向,η3,5971,0.1123,0.1171,<.001,Pearson r,定义内嵌,定义内嵌，不能单独作为强机制证据
5,成员级,认知通达度 × 概念复杂度,Q1背景证据,5971,-0.5332,-,<.001,Pearson r,背景证据,支持Q1双维度内部结构，不能替代CC→η3路径检验
6,类型级,类型距离 × 认知通达度,η2,12,-0.8846,-,<.001,Pearson r,类型级聚合趋势,N=12，作为聚合趋势补充，不直接等同成员级效应
7,类型级,类型距离 × 常规度,η2,12,-0.9045,-,<.001,Pearson r,类型级聚合趋势,N=12，作为聚合趋势补充，不直接等同成员级效应
8,类型级,类型距离 × 系统性,η3,12,-0.806,-,0.002,Pearson r,类型级聚合趋势,N=12，作为聚合趋势补充，不直接等同成员级效应
9,类型级,类型距离 × 蕴涵丰富度,η3,12,0.3348,-,0.287,Pearson r,类型级聚合趋势,N=12，作为聚合趋势补充，不直接等同成员级效应
10,类型级,类型距离 × 映射方向,η3,12,0.1082,-,0.738,Pearson r,类型级聚合趋势,N=12，作为聚合趋势补充，不直接等同成员级效应
