,潜变量,指标,变量名,外部权重,外部载荷,CI_2.5%,CI_97.5%,t值,p值,显著性,VIF
0,eta2 参照点锚定,认知通达度,cognitive_accessibility,0.3974,0.1528,0.1171,0.6407,2.7013,0.0069,**,1.117
1,eta2 参照点锚定,常规度,conventionality,16.6337,0.9959,16.0201,17.1079,3.613,<.001,***,1.01
2,Y 语言编码,系词功能,copula_function_num,4.1623,1.0,4.0755,4.2524,92.8726,<.001,***,-
3,eta1 域激活,具身体验,embodied_experience,-16.3498,-0.9526,-16.8899,-15.6798,-5.6364,<.001,***,1.005
4,eta3 跨域映射,蕴涵丰富度,entailment_richness,2.6841,-0.2468,-2.822,3.5459,1.932,0.0534,,1.17
5,eta3 跨域映射,映射方向,mapping_direction,0.0072,0.0366,-0.1066,0.1397,0.1132,0.9099,,1.002
6,eta2 参照点锚定,原型距离,prototype_distance,0.3485,-0.0201,0.1786,0.4809,2.9475,0.0032,**,1.112
7,eta1 域激活,源域频率编码,source_domain_num,0.1279,0.2245,0.0797,0.1724,4.0776,<.001,***,1.001
8,eta3 跨域映射,系统性,systematicity,-21.4184,-0.99,-22.0476,21.5868,-2.0361,0.0418,*,1.171
9,eta1 域激活,目标域频率编码,target_domain_num,0.1167,0.1307,0.0578,0.1698,3.5074,<.001,***,1.006
