,模型,路径,系数β,标准误,t值,p值,显著性,CI下限(2.5%),CI上限(97.5%)
0,模型A（四阶段）,eta1→eta2,-0.2864,0.0124,-23.0953,<.001,***,-0.3112,0.3094
1,模型A（四阶段）,eta2→eta3,-0.713,0.0091,-78.5698,<.001,***,-0.7381,0.7308
2,模型A（四阶段）,eta3→Y,0.0787,0.0129,6.0983,<.001,***,-0.1027,0.1068
3,模型B（三阶段）,eta2→eta3,0.7149,0.0091,78.9903,<.001,***,0.6869,0.7423
4,模型B（三阶段）,eta3→Y,-0.0786,0.0129,-6.0937,<.001,***,-0.0942,0.1096
5,模型C（直接效应）,eta1→eta2,-0.2874,0.0124,-23.1863,<.001,***,-0.313,0.3088
6,模型C（直接效应）,eta1→eta3,0.11,0.0094,11.668,<.001,***,-0.1416,0.1451
7,模型C（直接效应）,eta2→eta3,-0.677,0.0094,-71.7961,<.001,***,-0.7089,0.6952
8,模型C（直接效应）,eta2→Y,-0.0258,0.0183,-1.4136,0.1575,,-0.0621,0.0584
9,模型C（直接效应）,eta3→Y,0.0771,0.0183,4.224,<.001,***,-0.116,0.1237
