,源域代码,源域名称,频数,百分比(%),累计百分比(%)
0,OB,物体,1192,19.96,19.96
1,HM,人类活动,1099,18.41,38.37
2,ST,状态,990,16.58,54.95
3,AB,抽象,515,8.63,63.57
4,LV,生命,263,4.4,67.98
5,BD,身体,221,3.7,71.68
6,SP,空间,203,3.4,75.08
7,WR,战争,198,3.32,78.4
8,NT,自然,184,3.08,81.48
9,SN,感知,146,2.45,83.92
10,EM,情感,134,2.24,86.17
11,EC,经济,129,2.16,88.33
12,MR,道德,123,2.06,90.39
13,EV,事件,121,2.03,92.41
14,TH,思维,101,1.69,94.1
15,FC,力量,84,1.41,95.51
16,SC,社会,81,1.36,96.87
17,FD,食物,46,0.77,97.64
18,TR,旅行,41,0.69,98.33
19,TM,时间,40,0.67,99.0
20,MC,机器,32,0.54,99.53
21,LF,人生,8,0.13,99.67
22,GM,游戏,7,0.12,99.78
23,CM,语言,7,0.12,99.9
24,MV,运动,6,0.1,100.0
