,目标域代码,目标域名称,频数,百分比(%),累计百分比(%)
0,AB,抽象,1518,25.35,25.35
1,HM,人类活动,1138,19.0,44.35
2,SC,社会,807,13.47,57.82
3,TH,思维,396,6.61,64.43
4,EV,事件,274,4.58,69.01
5,EM,情感,234,3.91,72.92
6,OB,物体,229,3.82,76.74
7,NT,自然,191,3.19,79.93
8,BD,身体,179,2.99,82.92
9,LF,人生,153,2.55,85.47
10,MR,道德,150,2.5,87.98
11,SP,空间,132,2.2,90.18
12,ST,状态,113,1.89,92.07
13,TM,时间,112,1.87,93.94
14,EC,经济,102,1.7,95.64
15,SN,感知,83,1.39,97.03
16,LV,生命,69,1.15,98.18
17,CM,语言,42,0.7,98.88
18,FD,食物,35,0.58,99.47
19,WR,战争,14,0.23,99.7
20,MC,机器,8,0.13,99.83
21,TR,旅行,6,0.1,99.93
22,FC,力量,2,0.03,99.97
23,MV,运动,2,0.03,100.0
