source_domain,事件,人生,人类活动,力量,思维,情感,感知,战争,抽象,旅行,时间,机器,物体,状态,生命,社会,空间,经济,自然,语言,身体,运动,道德,食物,合计
事件,61,1,5,0,4,3,1,0,31,0,1,0,1,3,0,6,1,0,0,1,1,0,1,0,121
人生,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8
人类活动,24,39,497,0,17,12,1,0,165,0,12,0,21,15,22,217,1,5,20,3,5,0,18,5,1099
力量,3,3,6,0,5,0,0,1,30,0,1,0,0,2,1,27,0,3,0,0,0,0,2,0,84
思维,16,1,11,0,22,1,2,0,31,0,1,0,5,2,2,3,1,1,0,0,1,0,1,0,101
情感,4,2,19,0,5,18,14,0,38,0,1,0,6,3,0,4,2,0,10,1,7,0,0,0,134
感知,2,4,2,0,12,9,16,0,29,0,3,0,5,1,1,5,2,0,28,1,23,0,2,1,146
战争,8,8,16,0,26,2,1,4,55,0,1,0,1,4,0,67,0,2,0,0,2,0,1,0,198
抽象,26,5,60,0,33,14,7,4,194,0,3,2,28,4,6,55,10,30,12,6,8,0,3,5,515
旅行,1,3,0,0,1,0,1,0,19,1,0,0,1,4,0,7,0,1,0,0,0,0,2,0,41
时间,2,2,9,0,0,0,0,0,12,0,10,0,3,0,0,2,0,0,0,0,0,0,0,0,40
机器,1,0,5,0,0,0,0,0,11,0,0,0,3,0,0,11,0,0,0,0,1,0,0,0,32
游戏,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
物体,30,35,111,0,82,37,2,3,364,0,25,1,68,45,7,204,18,26,19,12,34,0,57,12,1192
状态,58,21,139,1,129,93,30,1,209,2,32,0,30,14,9,32,30,3,57,9,68,2,17,4,990
生命,1,2,116,0,8,3,0,0,52,0,0,2,6,1,13,39,1,4,5,1,1,0,8,0,263
社会,2,0,21,0,1,0,0,0,17,0,0,0,1,0,1,32,3,2,1,0,0,0,0,0,81
空间,3,6,22,0,9,10,0,0,47,2,2,0,11,2,1,22,54,1,5,1,4,0,1,0,203
经济,0,6,15,1,10,0,0,0,38,0,6,0,4,4,1,12,0,7,4,0,1,0,20,0,129
自然,5,5,42,0,12,10,4,0,48,0,6,0,7,2,2,13,1,4,12,0,8,0,3,0,184
语言,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,7
身体,5,4,22,0,11,5,0,0,60,1,4,3,16,3,3,33,6,13,12,3,10,0,4,3,221
运动,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
道德,20,4,6,0,6,14,1,1,35,0,0,0,7,4,0,9,0,0,3,0,4,0,8,1,123
食物,2,0,4,0,3,2,1,0,15,0,2,0,5,0,0,4,0,0,1,1,0,0,2,4,46
合计,274,153,1132,2,396,234,82,14,1510,6,112,8,229,113,70,805,132,102,190,42,178,2,150,35,5971
