,构式类型,样本量,源域种类数,主要源域(Top5)
0,低_具具,15,7,"人类活动(33%), 物体(20%), 生命(13%), 空间(13%), 身体(7%)"
1,低_具抽,6,6,"力量(17%), 思维(17%), 情感(17%), 抽象(17%), 物体(17%)"
2,低_抽抽,30,9,"抽象(27%), 物体(17%), 事件(17%), 状态(10%), 思维(10%)"
3,低_抽具,9,5,"人类活动(22%), 物体(22%), 空间(22%), 抽象(22%), 社会(11%)"
4,中_具具,151,14,"人类活动(41%), 物体(17%), 战争(9%), 生命(9%), 空间(9%)"
5,中_具抽,337,23,"状态(23%), 物体(23%), 抽象(21%), 经济(6%), 人类活动(5%)"
6,中_抽抽,644,23,"物体(26%), 抽象(24%), 状态(9%), 人类活动(7%), 事件(5%)"
7,中_抽具,692,22,"状态(28%), 物体(17%), 抽象(11%), 人类活动(9%), 感知(7%)"
8,高_具具,1515,22,"人类活动(43%), 物体(24%), 生命(9%), 身体(6%), 空间(5%)"
9,高_具抽,1206,24,"物体(30%), 人类活动(18%), 身体(9%), 战争(8%), 生命(7%)"
10,高_抽抽,1321,24,"状态(45%), 抽象(12%), 道德(5%), 事件(5%), 物体(5%)"
11,高_抽具,45,16,"物体(16%), 空间(13%), 人类活动(11%), 状态(11%), 生命(9%)"
