,构式类型,样本量,目标域种类数,主要目标域(Top5)
0,低_具具,15,6,"人类活动(53%), 物体(20%), 抽象(7%), 自然(7%), 语言(7%)"
1,低_具抽,6,5,"人类活动(33%), 社会(17%), 物体(17%), 时间(17%), 感知(17%)"
2,低_抽抽,30,9,"抽象(30%), 事件(23%), 思维(20%), 状态(7%), 社会(7%)"
3,低_抽具,9,7,"社会(33%), 道德(11%), 生命(11%), 抽象(11%), 情感(11%)"
4,中_具具,151,14,"人类活动(52%), 物体(9%), 抽象(7%), 社会(7%), 空间(5%)"
5,中_具抽,337,20,"人类活动(25%), 社会(15%), 抽象(15%), 经济(9%), 思维(5%)"
6,中_抽抽,644,18,"抽象(38%), 社会(18%), 思维(11%), 事件(8%), 道德(5%)"
7,中_抽具,692,21,"人类活动(18%), 抽象(17%), 自然(13%), 身体(11%), 社会(9%)"
8,高_具具,1515,21,"人类活动(47%), 抽象(12%), 社会(10%), 物体(7%), 空间(4%)"
9,高_具抽,1206,21,"抽象(32%), 社会(25%), 思维(9%), 情感(5%), 人类活动(5%)"
10,高_抽抽,1321,21,"抽象(37%), 思维(13%), 事件(11%), 情感(10%), 社会(8%)"
11,高_抽具,45,11,"抽象(31%), 人类活动(20%), 社会(20%), 物体(9%), 自然(4%)"
