,类型编号,样本量,占比(%),认知通达度M,通达等级,概念复杂度M,复杂等级,主要映射类型,中心成员占比(%)
0,T9,1524,25.45,4.08,高,1.91,低,具体→具体,0.0
1,T11,1327,22.16,4.0,高,2.95,中,抽象→抽象,99.8
2,T10,1208,20.17,4.17,高,1.93,低,具体→抽象,83.3
3,T8,693,11.57,3.0,中,3.97,高,抽象→具体,0.0
4,T7,644,10.75,3.0,中,3.09,中,抽象→抽象,0.0
5,T6,337,5.63,3.0,中,2.28,中,具体→抽象,0.0
6,T5,151,2.52,3.0,中,2.11,中,具体→具体,0.0
7,T12,45,0.75,4.07,高,2.27,中,抽象→具体,0.0
8,T3,30,0.5,2.0,低,3.07,中,抽象→抽象,0.0
9,T1,15,0.25,2.0,低,2.2,中,具体→具体,0.0
10,T4,9,0.15,2.0,低,3.33,中,抽象→具体,0.0
11,T2,6,0.1,2.0,低,2.33,中,具体→抽象,0.0
