,构式类型,样本量,度数,度中心性,中介中心性,特征向量中心性,接近中心性,认知通达度均值,概念复杂度均值
0,T5,151,8,0.7273,0.1,0.3536,0.7857,3.0,2.11
1,T6,337,8,0.7273,0.1,0.3536,0.7857,3.0,2.28
2,T7,644,8,0.7273,0.1,0.3536,0.7857,3.0,3.09
3,T8,693,8,0.7273,0.1,0.3536,0.7857,3.0,3.97
4,T1,15,7,0.6364,0.0,0.343,0.7333,2.0,2.2
5,T2,6,7,0.6364,0.0,0.343,0.7333,2.0,2.33
6,T3,30,7,0.6364,0.0,0.343,0.7333,2.0,3.07
7,T4,9,7,0.6364,0.0,0.343,0.7333,2.0,3.33
8,T9,1524,4,0.3636,0.0273,0.0858,0.6111,4.08,1.91
9,T10,1208,4,0.3636,0.0273,0.0858,0.6111,4.17,1.93
10,T11,1327,4,0.3636,0.0273,0.0858,0.6111,4.0,2.95
11,T12,45,4,0.3636,0.0273,0.0858,0.6111,4.07,2.27
