,具身体验($\eta_1$),源域($\eta_1$),目标域($\eta_1$),常规度($\eta_2$),认知通达度($\eta_2$),原型距离($\eta_2$),映射方向($\eta_3$),映射基础($\eta_3$),系统性($\eta_3$),蕴涵丰富度($\eta_3$),系词功能($X_{11}$)
具身体验($\eta_1$),1.0,0.009,0.073,0.264,0.114,0.014,-0.041,-0.035,0.311,0.38,-0.044
源域($\eta_1$),0.009,1.0,0.024,-0.062,-0.052,0.004,0.176,-0.016,-0.062,-0.029,0.042
目标域($\eta_1$),0.073,0.024,1.0,-0.037,-0.073,0.074,0.064,0.017,-0.036,0.008,0.023
常规度($\eta_2$),0.264,-0.062,-0.037,1.0,0.091,-0.067,0.004,-0.162,0.701,0.148,-0.083
认知通达度($\eta_2$),0.114,-0.052,-0.073,0.091,1.0,-0.317,-0.454,0.043,0.067,0.005,0.002
原型距离($\eta_2$),0.014,0.004,0.074,-0.067,-0.317,1.0,0.113,-0.039,-0.007,0.049,0.004
映射方向($\eta_3$),-0.041,0.176,0.064,0.004,-0.454,0.113,1.0,-0.034,-0.038,-0.036,0.006
映射基础($\eta_3$),-0.035,-0.016,0.017,-0.162,0.043,-0.039,-0.034,1.0,-0.177,-0.095,0.046
系统性($\eta_3$),0.311,-0.062,-0.036,0.701,0.067,-0.007,-0.038,-0.177,1.0,0.381,-0.11
蕴涵丰富度($\eta_3$),0.38,-0.029,0.008,0.148,0.005,0.049,-0.036,-0.095,0.381,1.0,-0.237
系词功能($X_{11}$),-0.044,0.042,0.023,-0.083,0.002,0.004,0.006,0.046,-0.11,-0.237,1.0
