,类型编号,类型标签,样本量,占比(%),认知通达度M,认知通达度SD,概念复杂度M,概念复杂度SD,认知通达度等级,映射方向
0,T1,低_具具,15,0.25,2.0,0.0,2.2,0.56,低,具体→具体
1,T2,低_具抽,6,0.1,2.0,0.0,2.33,0.82,低,具体→抽象
2,T3,低_抽抽,30,0.5,2.0,0.0,3.07,0.37,低,抽象→抽象
3,T4,低_抽具,9,0.15,2.0,0.0,3.33,1.0,低,抽象→具体
4,T5,中_具具,151,2.52,3.0,0.0,2.11,0.53,中,具体→具体
5,T6,中_具抽,337,5.63,3.0,0.0,2.28,0.73,中,具体→抽象
6,T7,中_抽抽,644,10.75,3.0,0.0,3.09,0.33,中,抽象→抽象
7,T8,中_抽具,693,11.57,3.0,0.0,3.97,0.24,中,抽象→具体
8,T9,高_具具,1524,25.45,4.08,0.28,1.91,0.29,高,具体→具体
9,T10,高_具抽,1208,20.17,4.17,0.37,1.93,0.29,高,具体→抽象
10,T11,高_抽抽,1327,22.16,4.0,0.04,2.95,0.22,高,抽象→抽象
11,T12,高_抽具,45,0.75,4.07,0.25,2.27,0.75,高,抽象→具体
