,类型编号,类型标签,样本量,文学_频数,文学_行占比(%),新闻_频数,新闻_行占比(%),网络_频数,网络_行占比(%),学术_频数,学术_行占比(%),对话_频数,对话_行占比(%)
0,T1,低_具具,15,10,66.67,1,6.67,3,20.0,1,6.67,0,0.0
1,T2,低_具抽,6,3,50.0,1,16.67,2,33.33,0,0.0,0,0.0
2,T3,低_抽抽,30,9,30.0,9,30.0,12,40.0,0,0.0,0,0.0
3,T4,低_抽具,9,2,22.22,4,44.44,2,22.22,1,11.11,0,0.0
4,T5,中_具具,151,95,62.91,34,22.52,20,13.25,2,1.32,0,0.0
5,T6,中_具抽,337,141,41.84,184,54.6,12,3.56,0,0.0,0,0.0
6,T7,中_抽抽,644,135,20.96,456,70.81,46,7.14,7,1.09,0,0.0
7,T8,中_抽具,693,416,60.03,254,36.65,20,2.89,3,0.43,0,0.0
8,T9,高_具具,1524,839,55.05,577,37.86,97,6.36,10,0.66,1,0.07
9,T10,高_具抽,1208,351,29.06,802,66.39,39,3.23,16,1.32,0,0.0
10,T11,高_抽抽,1327,1029,77.54,195,14.69,85,6.41,17,1.28,1,0.08
11,T12,高_抽具,45,18,40.0,5,11.11,21,46.67,1,2.22,0,0.0
