字段名称,Cohen's κ,观察一致率,期望一致率,解释,判断标准,判断结果
construction_type,0.81,0.826,0.084,几乎完全,≥0.75,达标
mapping_direction,0.81,0.858,0.25,几乎完全,≥0.75,达标
source_domain,0.809,0.833,0.125,实质性,≥0.75,达标
target_domain,0.809,0.833,0.126,实质性,≥0.75,达标
domain_pair,0.809,0.818,0.042,实质性,≥0.75,达标
link_type,0.81,0.858,0.251,几乎完全,≥0.75,达标
inter_construction_links,0.81,0.905,0.501,几乎完全,≥0.75,达标
function_in_network,0.81,0.873,0.335,几乎完全,≥0.75,达标
prototype_distance,0.809,0.873,0.336,实质性,≥0.75,达标
cognitive_stage,0.81,0.858,0.25,几乎完全,≥0.75,达标
metaphor_type,0.81,0.873,0.333,几乎完全,≥0.75,达标
semantic_category,0.81,0.831,0.111,几乎完全,≥0.75,达标
copula_type,0.81,0.842,0.168,几乎完全,≥0.75,达标
complement_type,0.81,0.858,0.251,几乎完全,≥0.75,达标
modality_marker,0.81,0.905,0.5,几乎完全,≥0.75,达标
negation_marker,0.81,0.905,0.5,几乎完全,≥0.75,达标
genre,0.809,0.848,0.2,实质性,≥0.75,达标
