item_id,construction_type_R1,construction_type_R2,mapping_direction_R1,mapping_direction_R2,source_domain_R1,source_domain_R2,target_domain_R1,target_domain_R2,domain_pair_R1,domain_pair_R2,link_type_R1,link_type_R2,inter_construction_links_R1,inter_construction_links_R2,function_in_network_R1,function_in_network_R2,prototype_distance_R1,prototype_distance_R2,cognitive_stage_R1,cognitive_stage_R2,metaphor_type_R1,metaphor_type_R2,semantic_category_R1,semantic_category_R2,copula_type_R1,copula_type_R2,complement_type_R1,complement_type_R2,modality_marker_R1,modality_marker_R2,negation_marker_R1,negation_marker_R2,genre_R1,genre_R2,cognitive_accessibility_R1,cognitive_accessibility_R2,conceptual_complexity_R1,conceptual_complexity_R2,embodied_experience_R1,embodied_experience_R2,cultural_specificity_R1,cultural_specificity_R2,mapping_transparency_R1,mapping_transparency_R2,conventionality_R1,conventionality_R2,productivity_R1,productivity_R2,systematicity_R1,systematicity_R2,entrenchment_R1,entrenchment_R2,reference_point_salience_R1,reference_point_salience_R2,dominion_scope_R1,dominion_scope_R2,mental_contact_R1,mental_contact_R2,target_activation_R1,target_activation_R2,imageability_R1,imageability_R2,emotional_valence_R1,emotional_valence_R2,information_structure_R1,information_structure_R2
1,12,12,抽象-具体,抽象-具体,心理,心理,情感,情感,13,13,实例,实例,有,有,边缘,边缘,核心,核心,阶段3,阶段3,结构隐喻,结构隐喻,5,5,变成,变成,名词性,名词性,有,有,无,无,网络,网络,4.5,4.1,3.2,3.3,2.7,2.9,1.7,1.6,2.7,2.6,3.4,3.4,2.1,2.3,2.0,2.0,2.1,2.0,2.7,2.6,3.0,3.2,3.6,3.2,4.1,4.1,2.3,2.6,2.2,2.1,3.3,3.3
2,7,7,抽象-具体,抽象-具体,人体,运动,品质,状态,22,22,隐喻扩展,隐喻扩展,无,无,边缘,边缘,中间,中间,阶段1,阶段2,方位隐喻,方位隐喻,4,4,变成,变成,动词性,介词短语,无,无,无,无,网络,网络,1.7,2.0,1.7,1.5,1.6,1.5,2.7,2.8,3.4,3.5,3.7,3.5,1.6,1.5,2.4,2.6,4.2,4.2,1.7,1.7,3.5,3.5,2.3,2.2,3.0,3.1,4.5,4.5,3.4,3.5,4.2,4.2
3,11,11,具体-抽象,具体-抽象,社会,社会,状态,状态,6,6,子部分,子部分,有,有,桥接,边缘,核心,核心,阶段2,阶段1,结构隐喻,结构隐喻,8,8,变成,变成,动词性,动词性,无,无,无,无,网络,网络,1.9,1.7,2.1,2.2,2.3,2.3,2.3,1.8,1.5,1.7,1.6,1.5,1.7,2.0,1.9,1.8,3.4,3.5,2.7,2.7,3.5,3.7,3.0,3.0,1.6,1.8,3.5,3.8,4.0,4.2,2.1,2.1
4,7,7,抽象-抽象,抽象-抽象,人体,人体,情感,情感,6,6,隐喻扩展,隐喻扩展,有,无,核心,核心,核心,核心,阶段3,阶段2,方位隐喻,结构隐喻,6,6,像,成为,动词性,动词性,有,无,无,无,学术,新闻,3.5,3.4,1.5,1.4,3.6,3.5,2.3,2.3,3.1,3.1,3.5,3.6,3.7,3.6,1.9,2.1,2.8,2.9,2.0,1.9,3.9,4.1,1.7,1.5,2.4,2.5,3.6,3.3,1.7,1.9,2.4,2.2
5,1,1,抽象-抽象,抽象-抽象,社会,社会,时间,时间,2,12,实例,实例,有,有,核心,核心,中间,核心,阶段2,阶段2,结构隐喻,结构隐喻,5,5,变成,变成,动词性,介词短语,有,有,有,有,网络,网络,2.4,2.3,2.1,2.2,3.0,2.8,2.4,2.4,1.7,1.6,3.4,3.6,1.5,1.6,3.9,3.8,2.8,2.8,2.4,2.3,3.4,3.3,3.4,3.5,3.6,3.9,3.1,3.2,2.1,2.2,1.8,1.7
6,12,12,抽象-具体,抽象-具体,人体,人体,关系,关系,14,19,实例,实例,无,无,边缘,边缘,核心,核心,阶段3,阶段3,结构隐喻,方位隐喻,9,3,像,像,动词性,动词性,无,无,无,无,文学,文学,3.5,3.3,2.8,2.9,2.6,2.7,1.4,1.4,2.4,1.8,1.6,1.6,2.5,2.5,4.2,4.3,4.0,3.9,2.9,2.5,4.0,4.0,1.7,1.5,2.7,2.6,3.8,3.9,3.2,3.5,2.9,3.2
7,9,9,具体-具体,具体-具体,运动,社会,情感,情感,18,18,多义,多义,无,无,桥接,桥接,核心,核心,阶段2,阶段2,本体隐喻,本体隐喻,1,1,算,算,名词性,名词性,有,有,有,有,文学,文学,3.3,3.0,2.5,2.5,2.3,2.5,2.8,2.9,3.2,3.0,3.2,3.2,2.7,2.8,3.4,3.4,2.4,2.5,3.0,2.6,3.4,3.7,3.5,3.4,3.3,3.4,3.8,3.6,1.9,2.0,4.0,4.1
8,2,2,具体-具体,具体-具体,空间,空间,关系,关系,23,23,隐喻扩展,隐喻扩展,无,无,核心,核心,边缘,边缘,阶段2,阶段2,方位隐喻,方位隐喻,4,4,成为,成为,动词性,动词性,无,无,无,无,学术,学术,4.2,4.3,2.6,2.6,3.3,3.4,3.2,3.1,3.6,3.4,3.6,3.3,4.3,4.3,4.1,4.2,2.1,1.9,4.3,4.2,4.3,4.4,2.9,3.0,2.8,3.1,4.0,3.8,4.2,4.2,3.2,3.3
9,1,1,具体-具体,具体-具体,心理,心理,关系,抽象概念,17,17,多义,多义,有,有,核心,核心,边缘,边缘,阶段3,阶段1,本体隐喻,本体隐喻,3,3,变成,变成,形容词性,形容词性,有,有,无,无,学术,学术,4.1,4.3,3.9,4.1,4.5,4.3,3.3,3.1,2.8,2.8,2.7,2.8,2.3,2.5,2.4,2.3,2.3,2.1,3.5,3.4,3.5,3.8,1.8,1.8,4.3,4.3,4.4,4.5,3.4,3.3,2.5,2.3
10,4,4,具体-抽象,具体-抽象,自然,自然,时间,时间,23,23,实例,实例,无,有,边缘,边缘,核心,核心,阶段1,阶段1,方位隐喻,方位隐喻,7,8,为,算,动词性,动词性,有,有,有,有,新闻,新闻,3.6,3.6,3.4,3.6,4.2,4.4,2.9,2.8,2.8,2.8,4.4,4.2,3.9,3.9,4.0,4.0,1.7,1.8,4.5,4.5,3.7,3.6,1.7,1.7,2.5,2.4,2.7,2.8,3.3,3.1,4.2,4.2
