字段名称,"ICC(2,1)",MS_R,MS_C,MS_E,解释,判断标准,判断结果
cognitive_accessibility,0.981,1.522,0.023,0.015,优秀,≥0.78,达标
conceptual_complexity,0.982,1.529,0.016,0.014,优秀,≥0.78,达标
embodied_experience,0.982,1.515,0.028,0.014,优秀,≥0.78,达标
cultural_specificity,0.983,1.498,0.038,0.013,优秀,≥0.78,达标
mapping_transparency,0.981,1.495,0.001,0.014,优秀,≥0.78,达标
conventionality,0.981,1.537,0.001,0.015,优秀,≥0.78,达标
productivity,0.983,1.556,0.013,0.013,优秀,≥0.78,达标
systematicity,0.98,1.47,0.003,0.015,优秀,≥0.78,达标
entrenchment,0.98,1.448,0.002,0.015,优秀,≥0.78,达标
reference_point_salience,0.981,1.518,0.005,0.014,优秀,≥0.78,达标
dominion_scope,0.982,1.485,0.045,0.014,优秀,≥0.78,达标
mental_contact,0.982,1.541,0.027,0.014,优秀,≥0.78,达标
target_activation,0.982,1.531,0.001,0.014,优秀,≥0.78,达标
imageability,0.98,1.446,0.01,0.015,优秀,≥0.78,达标
emotional_valence,0.981,1.539,0.006,0.015,优秀,≥0.78,达标
information_structure,0.982,1.527,0.011,0.014,优秀,≥0.78,达标
