item_id,construction_type_T1,construction_type_T2,mapping_direction_T1,mapping_direction_T2,source_domain_T1,source_domain_T2,target_domain_T1,target_domain_T2,domain_pair_T1,domain_pair_T2,link_type_T1,link_type_T2,inter_construction_links_T1,inter_construction_links_T2,function_in_network_T1,function_in_network_T2,prototype_distance_T1,prototype_distance_T2,cognitive_stage_T1,cognitive_stage_T2,metaphor_type_T1,metaphor_type_T2,semantic_category_T1,semantic_category_T2,copula_type_T1,copula_type_T2,complement_type_T1,complement_type_T2,modality_marker_T1,modality_marker_T2,negation_marker_T1,negation_marker_T2,genre_T1,genre_T2,cognitive_accessibility_T1,cognitive_accessibility_T2,conceptual_complexity_T1,conceptual_complexity_T2,embodied_experience_T1,embodied_experience_T2,cultural_specificity_T1,cultural_specificity_T2,mapping_transparency_T1,mapping_transparency_T2,conventionality_T1,conventionality_T2,productivity_T1,productivity_T2,systematicity_T1,systematicity_T2,entrenchment_T1,entrenchment_T2,reference_point_salience_T1,reference_point_salience_T2,dominion_scope_T1,dominion_scope_T2,mental_contact_T1,mental_contact_T2,target_activation_T1,target_activation_T2,imageability_T1,imageability_T2,emotional_valence_T1,emotional_valence_T2,information_structure_T1,information_structure_T2
1,12,12,具体-具体,具体-具体,空间,空间,事件,事件,11,11,隐喻扩展,隐喻扩展,无,无,边缘,边缘,核心,核心,阶段3,阶段3,本体隐喻,本体隐喻,9,9,成为,成为,动词性,动词性,无,无,有,有,网络,网络,2.5,2.0,3.0,3.1,2.7,2.6,3.8,3.7,4.2,4.4,4.1,3.9,2.0,1.9,2.6,2.9,2.7,3.2,4.2,4.4,4.5,4.3,1.5,1.4,3.5,3.4,4.1,4.6,3.2,3.4,4.2,4.4
2,6,6,具体-抽象,具体-抽象,运动,运动,状态,状态,20,20,多义,多义,无,有,核心,核心,核心,核心,阶段2,阶段2,本体隐喻,本体隐喻,1,1,为,为,动词性,动词性,有,有,有,有,文学,文学,1.5,1.5,2.9,2.9,1.4,1.4,2.1,2.0,2.8,2.6,3.0,3.1,2.8,3.0,4.2,4.4,2.1,2.1,3.1,3.2,2.0,2.1,3.4,3.6,4.2,4.2,2.4,2.7,3.7,3.6,1.4,1.5
3,2,9,抽象-抽象,抽象-抽象,社会,社会,关系,关系,14,14,多义,实例,有,有,边缘,边缘,中间,中间,阶段3,阶段3,本体隐喻,本体隐喻,2,2,为,为,形容词性,形容词性,有,有,有,有,文学,文学,4.6,4.2,1.8,1.8,3.7,3.6,2.2,2.1,4.5,4.4,2.4,2.2,2.5,2.7,4.4,4.5,4.2,4.5,2.2,2.2,2.1,2.2,3.7,3.6,2.3,2.1,3.1,3.5,1.8,1.7,1.8,2.0
4,1,1,具体-具体,具体-具体,心理,心理,状态,状态,2,2,实例,实例,无,无,桥接,桥接,中间,中间,阶段3,阶段3,本体隐喻,本体隐喻,4,4,是,是,名词性,名词性,无,无,无,无,新闻,新闻,4.3,3.9,2.8,2.6,4.3,4.4,3.9,4.1,2.3,2.2,4.4,4.4,1.8,1.9,4.5,4.4,3.4,3.7,3.2,2.9,3.0,3.0,4.3,4.4,3.9,3.8,2.6,2.9,4.6,4.6,3.4,3.7
5,11,11,具体-抽象,具体-抽象,空间,空间,状态,状态,24,24,实例,实例,有,有,桥接,桥接,边缘,边缘,阶段4,阶段4,本体隐喻,方位隐喻,5,5,变成,变成,名词性,名词性,无,有,无,无,对话,对话,2.9,2.5,4.8,4.6,4.1,4.3,1.7,1.9,3.2,3.3,3.7,3.6,3.6,3.5,2.5,2.3,2.1,2.2,3.7,3.6,3.2,3.2,3.4,3.4,3.1,2.9,3.7,3.7,2.3,2.4,3.7,3.6
6,10,10,抽象-具体,抽象-具体,社会,社会,事件,事件,16,16,子部分,子部分,有,有,边缘,边缘,边缘,边缘,阶段1,阶段1,结构隐喻,结构隐喻,7,7,算,算,形容词性,形容词性,无,无,无,无,文学,文学,2.6,2.8,2.6,2.5,4.0,3.8,2.7,2.8,1.9,1.8,4.5,4.5,2.0,1.8,3.5,3.7,3.2,2.7,2.2,2.1,2.8,2.7,2.3,2.2,3.6,3.4,3.7,3.4,4.6,4.2,2.3,1.8
7,6,6,抽象-具体,抽象-具体,空间,空间,事件,事件,8,8,隐喻扩展,隐喻扩展,无,无,桥接,桥接,边缘,边缘,阶段3,阶段3,方位隐喻,方位隐喻,5,5,是,成为,动词性,动词性,无,无,有,有,文学,文学,2.8,3.0,3.5,3.7,2.1,2.1,2.0,1.9,2.0,2.2,2.1,2.2,1.6,1.4,3.9,3.9,1.8,1.8,2.9,2.8,3.2,3.5,4.4,4.3,3.0,3.4,2.2,2.0,3.4,3.7,3.3,3.6
8,5,5,抽象-具体,抽象-具体,感知,感知,状态,状态,15,15,子部分,子部分,无,无,核心,核心,中间,中间,阶段1,阶段1,结构隐喻,结构隐喻,6,6,成为,成为,名词性,名词性,有,有,有,有,文学,学术,2.1,2.1,3.1,3.0,2.3,2.8,3.3,3.3,3.9,3.6,4.1,4.1,3.4,3.2,3.0,3.2,4.3,4.2,3.5,3.4,4.2,4.1,4.3,4.2,3.5,3.6,2.0,2.0,3.5,3.6,4.2,4.3
9,1,1,具体-抽象,具体-抽象,运动,运动,抽象概念,抽象概念,5,5,隐喻扩展,多义,无,无,核心,核心,边缘,边缘,阶段2,阶段2,本体隐喻,本体隐喻,1,1,像,像,形容词性,形容词性,有,有,有,有,文学,文学,3.2,3.5,3.9,4.0,2.5,2.9,2.9,3.1,4.2,4.3,4.0,4.2,1.6,1.8,3.1,3.0,2.9,2.8,1.8,1.6,3.2,2.9,4.3,4.3,2.2,2.3,1.8,2.0,4.1,4.3,3.8,4.0
10,4,4,具体-具体,抽象-具体,社会,社会,抽象概念,抽象概念,7,7,实例,实例,有,有,核心,核心,核心,核心,阶段1,阶段1,方位隐喻,方位隐喻,5,5,为,为,动词性,动词性,有,有,有,有,新闻,新闻,4.4,4.7,3.8,3.8,2.9,2.7,3.8,3.5,4.2,4.1,4.1,4.1,1.7,1.8,3.6,3.8,1.6,1.6,2.1,1.9,4.7,4.6,3.8,3.7,4.5,4.4,1.7,1.9,4.3,4.1,1.7,1.7
11,5,5,具体-抽象,具体-抽象,运动,运动,社会角色,社会角色,12,12,多义,多义,有,有,核心,核心,核心,边缘,阶段1,阶段1,本体隐喻,本体隐喻,5,5,为,为,名词性,名词性,有,有,无,无,新闻,新闻,1.8,1.7,4.4,4.4,3.0,3.0,2.4,2.4,3.9,4.0,3.8,4.0,1.7,1.8,3.0,3.0,2.0,2.0,3.6,3.4,4.5,4.2,4.1,4.1,3.0,3.0,2.2,2.2,2.3,2.4,1.6,1.5
12,8,8,抽象-具体,抽象-具体,心理,心理,状态,状态,5,5,实例,实例,无,无,边缘,边缘,中间,中间,阶段3,阶段3,方位隐喻,本体隐喻,2,6,是,算,形容词性,形容词性,无,无,无,有,网络,网络,3.9,3.7,3.4,3.5,4.3,4.3,2.5,2.8,3.4,3.0,3.9,3.8,4.5,4.1,3.1,3.2,2.8,3.1,2.6,2.4,4.0,3.6,2.2,2.3,4.0,4.0,2.6,2.5,3.4,3.8,2.9,2.9
13,1,1,抽象-抽象,抽象-抽象,人体,社会,事件,状态,5,5,子部分,子部分,无,有,桥接,桥接,边缘,核心,阶段4,阶段4,本体隐喻,本体隐喻,8,8,变成,变成,动词性,名词性,无,无,有,有,网络,网络,1.6,1.7,4.4,4.3,1.7,1.7,2.1,2.2,1.8,1.7,3.9,4.1,1.9,1.9,2.9,2.5,2.1,2.3,1.8,1.6,3.9,3.6,3.5,3.3,1.4,1.4,3.4,3.3,2.9,3.1,2.5,2.8
