sample_id,L_entrench,C_entrench,Cul_share,Sem_dist,Map_corr,D_reg,D_trans,CA_score,CA_level
pilot_001,0.7602,0.9019,0.6,0.8619,0.8,0.7848,0.831,0.8056,5
pilot_002,0.6169,0.9409,0.8,0.0624,0.6,0.7831,0.3312,0.5798,3
pilot_003,0.3076,0.4028,0.8,0.6939,0.4,0.4442,0.547,0.4904,3
pilot_004,0.6913,0.5331,0.2,0.3932,0.8,0.5298,0.5966,0.5598,3
pilot_005,0.3446,0.6182,0.2,0.9896,0.8,0.4251,0.8948,0.6365,4
pilot_006,0.5469,0.4664,0.6,0.2795,0.2,0.5253,0.2398,0.3968,2
pilot_007,0.8798,0.8308,0.6,0.1273,1.0,0.8042,0.5636,0.696,4
pilot_008,0.6729,0.858,0.6,0.7067,1.0,0.7324,0.8534,0.7868,4
pilot_009,0.8088,0.9809,0.4,0.9018,0.8,0.7959,0.8509,0.8206,5
pilot_010,0.1561,0.3727,0.2,0.1994,0.8,0.2515,0.4997,0.3632,2
pilot_011,0.6556,0.2819,0.2,0.4543,0.6,0.415,0.5272,0.4655,3
pilot_012,0.245,0.5922,0.8,0.2235,0.8,0.4949,0.5118,0.5025,3
pilot_013,0.8308,0.1887,0.4,0.323,1.0,0.4878,0.6615,0.566,3
pilot_014,0.1404,0.1092,0.2,0.9303,0.2,0.1398,0.5652,0.3312,2
pilot_015,0.8158,0.0969,0.6,0.195,0.2,0.4851,0.1975,0.3557,2
pilot_016,0.5885,0.7411,1.0,0.6302,1.0,0.7318,0.8151,0.7693,4
pilot_017,0.7292,0.6731,0.4,0.5706,1.0,0.6409,0.7853,0.7059,4
pilot_018,0.047,0.0776,0.6,0.4879,0.2,0.1698,0.344,0.2482,2
pilot_019,0.2001,0.3639,0.6,0.5453,0.6,0.3456,0.5726,0.4478,3
pilot_020,0.7299,0.8016,0.8,0.913,0.6,0.7726,0.7565,0.7654,4
pilot_021,0.8958,0.7895,1.0,0.987,1.0,0.8741,0.9935,0.9278,5
pilot_022,0.576,0.3977,0.4,0.2261,0.8,0.4695,0.513,0.4891,3
pilot_023,0.0539,0.2608,0.6,0.0657,0.2,0.2459,0.1328,0.195,1
pilot_024,0.8883,0.6851,0.8,0.5604,0.8,0.7894,0.6802,0.7402,4
pilot_025,0.4947,0.9056,0.4,0.9658,1.0,0.6401,0.9829,0.7944,4
pilot_026,0.8108,0.9883,0.4,0.8958,1.0,0.7996,0.9479,0.8664,5
pilot_027,0.951,0.3826,0.2,0.1483,0.6,0.5734,0.3742,0.4838,3
pilot_028,0.6131,0.1418,0.6,0.2696,0.8,0.422,0.5348,0.4727,3
pilot_029,0.6297,0.3248,0.2,0.1412,0.2,0.4218,0.1706,0.3088,2
pilot_030,0.9836,0.8894,0.8,0.782,1.0,0.9092,0.891,0.901,5
pilot_031,0.5004,0.9113,0.6,0.7824,1.0,0.6847,0.8912,0.7776,4
pilot_032,0.5401,0.4111,0.2,0.4161,0.6,0.4205,0.508,0.4599,3
pilot_033,0.0114,0.2465,0.2,0.6219,0.6,0.1432,0.611,0.3537,2
pilot_034,0.5385,0.3585,0.8,0.5397,0.4,0.5188,0.4698,0.4968,3
pilot_035,0.4591,0.1564,1.0,0.2995,0.6,0.4462,0.4498,0.4478,3
pilot_036,0.7362,0.9667,0.8,0.1697,0.6,0.8412,0.3848,0.6358,4
pilot_037,0.1785,0.4329,0.4,0.2139,0.4,0.3246,0.307,0.3166,2
pilot_038,0.4684,0.9153,1.0,0.6152,0.8,0.7535,0.7076,0.7328,4
pilot_039,0.7477,0.7216,1.0,0.4571,0.6,0.7877,0.5286,0.6711,4
pilot_040,0.1405,0.3928,0.8,0.7965,0.4,0.3733,0.5982,0.4745,3
pilot_041,0.1568,0.2004,0.6,0.4948,0.2,0.2629,0.3474,0.3009,2
