,分析内容,归属阶段,样本量N,相关系数r,p值,显著性,理论预期
0,原型距离 x 常规度,eta2指标,5989,-0.695,<.001,***,负相关
1,原型距离 x 认知通达度,eta2指标,5989,-0.68,<.001,***,负相关
2,原型距离 x 系统性,eta3指标,5989,-0.55,<.001,***,负相关
3,原型距离 x 蕴涵丰富度,eta3指标,5989,-0.124,<.001,***,负相关
4,原型距离 x 映射方向,eta3指标,5989,-0.093,<.001,***,负相关
5,认知通达度 x 概念复杂度,Q1双维度,5989,-0.392,<.001,***,负相关（r~=-0.40~-0.60）
6,中心成员 - 常规度均值,eta2指标,3508,-,-,,M = 0.90
7,次中心成员 - 常规度均值,eta2指标,1897,-,-,,M = 0.72
8,边缘成员 - 常规度均值,eta2指标,584,-,-,,M = 0.57
9,中心成员 - 认知通达度均值,eta2指标,3508,-,-,,M = 4.72
10,次中心成员 - 认知通达度均值,eta2指标,1897,-,-,,M = 3.87
11,边缘成员 - 认知通达度均值,eta2指标,584,-,-,,M = 3.23
12,中心成员 - 系统性均值,eta3指标,3508,-,-,,M = 0.87
13,次中心成员 - 系统性均值,eta3指标,1897,-,-,,M = 0.76
14,边缘成员 - 系统性均值,eta3指标,584,-,-,,M = 0.65
