,类型编号,类型名称,认知通达度,映射方向,样本量,占比(%),认知通达度M,认知通达度SD,概念复杂度M,概念复杂度SD
0,1,低_具具,低,具具,38,0.63,1.974,0.162,3.079,0.749
1,2,低_具抽,低,具抽,47,0.78,1.979,0.146,3.0,0.466
2,3,低_抽抽,低,抽抽,28,0.47,2.0,0.0,2.714,0.535
3,4,低_抽具,低,抽具,7,0.12,2.0,0.0,3.0,1.155
4,5,中_具具,中,具具,194,3.24,3.0,0.0,2.881,0.684
5,6,中_具抽,中,具抽,353,5.89,3.0,0.0,2.683,0.58
6,7,中_抽抽,中,抽抽,142,2.37,3.0,0.0,2.528,0.542
7,8,中_抽具,中,抽具,51,0.85,3.0,0.0,2.49,0.612
8,9,高_具具,高,具具,881,14.71,4.489,0.5,2.251,0.535
9,10,高_具抽,高,具抽,2883,48.14,4.548,0.498,2.232,0.434
10,11,高_抽抽,高,抽抽,772,12.89,4.479,0.5,2.246,0.443
11,12,高_抽具,高,抽具,593,9.9,4.707,0.456,1.985,0.4
