,类型编号,样本量,占比(%),认知通达度M,通达等级,概念复杂度M,复杂等级,主要映射类型,中心成员占比(%)
0,T10,2883,48.14,4.55,高,2.23,中,具体→抽象,54.8
1,T9,881,14.71,4.49,高,2.25,中,具体→具体,51.1
2,T11,772,12.89,4.48,高,2.25,中,抽象→抽象,52.1
3,T12,593,9.9,4.71,高,1.98,低,抽象→具体,70.7
4,T6,353,5.89,3.0,中,2.68,中,具体→抽象,100.0
5,T5,194,3.24,3.0,中,2.88,中,具体→具体,100.0
6,T7,142,2.37,3.0,中,2.53,中,抽象→抽象,100.0
7,T8,51,0.85,3.0,中,2.49,中,抽象→具体,100.0
8,T2,47,0.78,1.98,低,3.0,中,具体→抽象,97.9
9,T1,38,0.63,1.97,低,3.08,中,具体→具体,97.4
10,T3,28,0.47,2.0,低,2.71,中,抽象→抽象,100.0
11,T4,7,0.12,2.0,低,3.0,中,抽象→具体,100.0
