,变量,归属,N,M,SD,Min,Max,偏度,峰度
0,具身体验,eta1,5989,0.717,0.164,0.0,1.0,-0.601,0.614
1,源域（编码）,eta1,5989,3.866,4.093,1.0,23.0,1.876,3.333
2,目标域（编码）,eta1,5989,2.965,3.032,1.0,20.0,2.024,4.195
3,常规度,eta2,5989,0.81,0.165,0.1,1.0,-1.215,1.236
4,认知通达度,eta2,5989,4.304,0.762,1.0,5.0,-0.858,0.158
5,原型距离,eta2,5989,1.512,0.667,1.0,3.0,0.943,-0.289
6,映射方向,eta3,5989,2.189,0.862,1.0,4.0,0.647,-0.077
7,映射基础（编码）,eta3,5989,1.238,0.879,1.0,7.0,4.422,21.269
8,系统性,eta3,5989,0.814,0.135,0.2,1.0,-1.114,1.508
9,蕴涵丰富度,eta3,5989,0.765,0.157,0.1,1.0,-0.985,2.528
10,系词功能（编码）,Y,5989,1.718,0.663,1.0,3.0,0.385,-0.775
