,构式类型,样本量,度数,度中心性,中介中心性,特征向量中心性,接近中心性,认知通达度均值,概念复杂度均值
0,T3,28,7,0.6364,0.0497,0.4006,0.6875,2.0,2.71
1,T4,7,7,0.6364,0.0497,0.4006,0.6875,2.0,3.0
2,T5,194,7,0.6364,0.1748,0.3812,0.7333,3.0,2.88
3,T6,353,7,0.6364,0.1748,0.3812,0.7333,3.0,2.68
4,T7,142,6,0.5455,0.1182,0.3443,0.6875,3.0,2.53
5,T8,51,5,0.4545,0.0,0.3284,0.6111,3.0,2.49
6,T1,38,4,0.3636,0.0082,0.2458,0.5238,1.97,3.08
7,T2,47,4,0.3636,0.0082,0.2458,0.5238,1.98,3.0
8,T9,881,4,0.3636,0.0809,0.1138,0.5789,4.49,2.25
9,T10,2883,4,0.3636,0.0809,0.1138,0.5789,4.55,2.23
10,T11,772,4,0.3636,0.0545,0.1084,0.55,4.48,2.25
11,T12,593,3,0.2727,0.0,0.0578,0.4583,4.71,1.98
