,具身体验($\eta_1$),源域($\eta_1$),目标域($\eta_1$),常规度($\eta_2$),认知通达度($\eta_2$),原型距离($\eta_2$),映射方向($\eta_3$),映射基础($\eta_3$),系统性($\eta_3$),蕴涵丰富度($\eta_3$),系词功能($X_{11}$)
具身体验($\eta_1$),1.0,0.064,0.089,0.264,0.279,-0.204,-0.144,-0.035,0.311,0.38,-0.044
源域($\eta_1$),0.064,1.0,0.114,0.055,0.031,-0.08,0.181,-0.046,0.068,0.075,-0.053
目标域($\eta_1$),0.089,0.114,1.0,0.05,0.046,-0.084,0.127,-0.059,0.055,0.081,-0.046
常规度($\eta_2$),0.264,0.055,0.05,1.0,0.74,-0.695,0.114,-0.162,0.701,0.148,-0.083
认知通达度($\eta_2$),0.279,0.031,0.046,0.74,1.0,-0.68,0.096,-0.118,0.562,0.112,-0.093
原型距离($\eta_2$),-0.204,-0.08,-0.084,-0.695,-0.68,1.0,-0.093,0.081,-0.55,-0.124,0.125
映射方向($\eta_3$),-0.144,0.181,0.127,0.114,0.096,-0.093,1.0,-0.178,0.14,0.118,-0.119
映射基础($\eta_3$),-0.035,-0.046,-0.059,-0.162,-0.118,0.081,-0.178,1.0,-0.177,-0.095,0.046
系统性($\eta_3$),0.311,0.068,0.055,0.701,0.562,-0.55,0.14,-0.177,1.0,0.381,-0.11
蕴涵丰富度($\eta_3$),0.38,0.075,0.081,0.148,0.112,-0.124,0.118,-0.095,0.381,1.0,-0.237
系词功能($X_{11}$),-0.044,-0.053,-0.046,-0.083,-0.093,0.125,-0.119,0.046,-0.11,-0.237,1.0
